time,x,y,z,vx,vy,vz
1.390000000000000124e-01,-8.815466157855401941e-02,-8.859727894095971445e-02,7.915513518220499423e-01,-1.132320733840549876e+00,-1.138006023848306514e+00,1.016695411426410978e+01
1.400000000000000133e-01,-8.929215650081553934e-02,-8.974048513240684422e-02,8.017647575638503499e-01,-1.137494922261526931e+00,-1.143206191447133868e+00,1.021340574180043781e+01
1.410000000000000142e-01,-9.043478199379345606e-02,-9.088884765474727900e-02,8.120242232372570923e-01,-1.142625492977911161e+00,-1.148362522340432790e+00,1.025946567340669979e+01
1.420000000000000151e-01,-9.158249461062586971e-02,-9.204232284297597655e-02,8.223293586816867728e-01,-1.147712616832414767e+00,-1.153475188228702875e+00,1.030513544442963436e+01
1.430000000000000160e-01,-9.273525107882664431e-02,-9.320086720733918029e-02,8.326797753036235816e-01,-1.152756468200776041e+00,-1.158544364363208734e+00,1.035041662193675904e+01
1.440000000000000169e-01,-9.389300830372031281e-02,-9.436443743678657459e-02,8.430750861074587377e-01,-1.157757224893672499e+00,-1.163570229447400850e+00,1.039531080383516226e+01
1.449999999999999900e-01,-9.505572337177968512e-02,-9.553299040232564321e-02,8.535149057254556304e-01,-1.162715068059368306e+00,-1.168552965539073840e+00,1.043981961799689806e+01
1.459999999999999909e-01,-9.622335355386681111e-02,-9.670648316027893876e-02,8.639988504468468777e-01,-1.167630182087123991e+00,-1.173492757953291887e+00,1.048394472139124289e+01
1.469999999999999918e-01,-9.739585630837821473e-02,-9.788487295544504030e-02,8.745265382460709613e-01,-1.172502754511397516e+00,-1.178389795166107978e+00,1.052768779922406139e+01
1.479999999999999927e-01,-9.857318928429507909e-02,-9.906811722416415666e-02,8.850975888101555444e-01,-1.177332975916866475e+00,-1.183244268719109815e+00,1.057105056408456356e+01
1.489999999999999936e-01,-9.975531032413936794e-02,-1.002561735972889723e-01,8.957116235652551328e-01,-1.182121039844293398e+00,-1.188056373124812604e+00,1.061403475509964345e+01
1.499999999999999944e-01,-1.009421774668366328e-01,-1.014489999030619011e-01,9.063682657023511835e-01,-1.186867142697264788e+00,-1.192826305772928919e+00,1.065664213709606756e+01
1.509999999999999953e-01,-1.021337489504864499e-01,-1.026465541698994427e-01,9.170671402021218777e-01,-1.191571483649821461e+00,-1.197554266837536296e+00,1.069887449977068705e+01
1.519999999999999962e-01,-1.033299832150414571e-01,-1.038487946290846120e-01,9.278078738589907726e-01,-1.196234264555009918e+00,-1.202240459185168975e+00,1.074073365686892956e+01
1.529999999999999971e-01,-1.045308389048958259e-01,-1.050556797173684692e-01,9.385900953043624373e-01,-1.200855689854369412e+00,-1.206885088283850438e+00,1.078222144537169669e+01
1.539999999999999980e-01,-1.057362748713842060e-01,-1.062671680794815554e-01,9.494134350290533986e-01,-1.205435966488381139e+00,-1.211488362113092965e+00,1.082333972469092487e+01
1.549999999999999989e-01,-1.069462501751921035e-01,-1.074832185705564408e-01,9.602775254049272791e-01,-1.209975303807893976e+00,-1.216050491074879281e+00,1.086409037587391424e+01
1.559999999999999998e-01,-1.081607240886786475e-01,-1.087037902584620797e-01,9.711820007057438975e-01,-1.214473913486548096e+00,-1.220571687905645408e+00,1.090447530081663530e+01
